,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
_id,1,3,2099,2101,2109,2081,1343,2102,1054,2104,2106,2108,2110,2112,2097,2114,2116,2118,2120,2122
Category,Neighbourhood Information,Population,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income,Income
Topic,Neighbourhood Information,Population and dwellings,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015,Income of households in 2015
Characteristic,Neighbourhood Number,"Population, 2016","$10,000 to $14,999","$100,000 to $124,999","$125,000 to $149,999","$15,000 to $19,999","$150,000 to $199,999","$20,000 to $24,999","$200,000 and over","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$5,000 to $9,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999"
Glenfield-Jane Heights,25,30491,560,1530,845,1285,705,1355,140,1215,1325,1340,1180,1155,310,1910,1480,1305,1115,905
Greenwood-Coxwell,65,14417,540,1200,915,715,1150,660,470,485,515,485,430,420,280,785,740,690,710,605
Guildwood,140,9917,80,985,715,120,930,290,410,230,300,320,330,330,45,625,575,580,555,480
Henry Farm,53,15723,430,960,470,570,560,585,230,605,550,625,645,610,335,1225,1025,975,790,590
High Park North,88,22162,850,1890,1205,1115,2005,970,1095,905,910,950,955,890,540,1785,1580,1400,1265,1025
High Park-Swansea,87,23925,460,2020,1460,695,2840,910,1735,730,745,825,865,850,310,1590,1580,1355,1215,1065
Highland Creek,134,12494,90,1060,800,120,1180,150,440,160,205,235,195,250,55,490,500,430,470,430
Hillcrest Village,48,16934,350,1370,910,1130,1200,490,480,640,530,515,400,395,230,845,780,830,695,650
Humber Heights-Westmount,8,10948,150,810,525,335,695,395,320,365,405,410,395,425,80,790,620,520,525,410
Humber Summit,21,12416,120,720,450,190,445,410,115,410,445,540,515,425,105,700,690,565,515,355
Humbermede,22,15545,215,880,445,380,390,495,95,565,625,595,640,535,140,1120,850,790,635,505
Humewood-Cedarvale,106,14365,475,820,560,825,1405,670,935,620,615,640,650,630,260,1090,870,690,580,460
Ionview,125,13641,415,755,415,510,295,505,70,615,630,685,680,595,190,1025,940,770,550,465
Islington-City Centre West,14,43965,935,3805,2375,1600,3330,1410,1665,1525,1555,1630,1710,1745,655,3425,3165,2805,2490,2015
Junction Area,90,14366,395,1245,890,480,1110,485,470,465,445,515,515,490,220,990,865,805,695,665
Keelesdale-Eglinton West,110,11058,250,780,430,560,415,530,90,465,425,430,430,410,155,695,640,570,480,470
Kennedy Park,124,17123,750,975,555,910,490,845,115,785,740,790,695,615,425,1175,965,830,705,560
Kensington-Chinatown,78,17945,1110,1040,670,1900,835,960,365,990,810,805,770,715,805,1295,1065,930,750,610
Kingsview Village-The Westway,6,22000,350,1270,800,585,880,810,330,790,835,925,925,890,200,1630,1330,1120,900,745
Kingsway South,15,9271,65,625,525,85,1865,140,1400,115,135,145,170,180,45,330,355,310,305,295
Lambton Baby Point,114,7985,240,540,405,325,1000,305,645,265,270,210,175,200,130,350,295,275,265,235
L'Amoreaux,117,43993,735,2610,1590,1650,1695,1320,550,1705,1705,1620,1595,1470,500,2860,2465,2090,1770,1385
Lansing-Westgate,38,16164,320,1175,850,455,1755,470,1095,490,455,520,465,460,265,915,810,750,675,615
Lawrence Park North,105,14607,180,900,790,295,2740,230,2025,205,210,255,245,225,105,445,460,470,445,440
Lawrence Park South,103,15179,205,875,695,245,2965,265,2375,250,220,280,240,235,175,530,470,475,415,405
Leaside-Bennington,56,16828,165,1075,840,270,2920,315,2260,345,315,350,360,350,130,685,595,575,575,485
Little Portugal,84,15559,515,1380,795,625,960,590,415,650,665,725,705,685,300,1355,1205,1155,945,775
Long Branch,19,10084,355,740,490,455,685,515,300,470,440,520,500,475,185,855,775,635,545,415
Malvern,132,43794,565,2710,1515,1050,1270,1000,225,1240,1350,1440,1400,1450,320,2920,2490,2115,1825,1560
