_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,ADDRESS_POINT_ID,ADDRESS_NUMBER,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,CENTRELINE_ID,geometry
1,1,330677,A PLUS ACADEMY OF ADVANCEMENT,,2425 EGLINTON AVE E,330677,2425,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,,111254,MULTIPOINT (-79.267103936897 43.7320819460129)
2,2,524780,A R S ARMENIAN PRIVATE SCHOOL,,50 HALLCROWN PL,524780,50,50 Hallcrown Pl,M2J 1P7,North York,Toronto,,438652,MULTIPOINT (-79.323156147744 43.770053062482)
3,3,20258267,A Y J GLOBAL ACADEMY,,4 LANSING SQ,20258267,4,4 Lansing Sq,M2J 5A2,North York,Toronto,,438287,MULTIPOINT (-79.3252164120635 43.774082570705)
4,4,517961,A Y JACKSON SECONDARY SCHOOL,Toronto District School Board,50 FRANCINE DR,517961,50,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,436260,MULTIPOINT (-79.3665552934095 43.8052613014219)
5,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,,4 CREDIT UNION DR,13967401,4,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,444179,MULTIPOINT (-79.3190099774403 43.725432232812)
6,6,4605052,ABU BAKR EDUCATION ACADEMY,,2665 LAWRENCE AVE E,4605052,2665,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,,4605051,MULTIPOINT (-79.2621633018006 43.7514534548585)
7,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,,5415 DUNDAS ST W,8087266,5415,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,,8087218,MULTIPOINT (-79.5412901930194 43.6339646127929)
8,8,322971,ACADEMIE ALEXANDRE DUMAS,Conseil scolaire Viamonde,255 CORONATION DR,322971,255,255 Coronation Dr,M1E 2J3,Scarborough,Toronto,Academie Alexandre Dumas,108815,MULTIPOINT (-79.1797652166975 43.7624188078436)
9,9,575619,ACADEMY OF EXCELLENCE  ,,128 WILLOWDALE AVE,575619,128,128 Willowdale Ave,M2N 4Y2,North York,Toronto,,439396,MULTIPOINT (-79.4005055525118 43.7651862818454)
10,10,30029356,ACADEMY OF MATH AND ENGLISH,,5101 DUNDAS ST W,30029356,5101,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,,30012612,MULTIPOINT (-79.5319897329647 43.644824255422)
11,11,9311790,ACADEMY OF NEW ECHO EDUCATION,,1041 MCNICOLL AVE,9311790,1041,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,9311781,MULTIPOINT (-79.3344738933022 43.8041514841863)
12,12,508042,ACE ACUMEN HIGH SCHOOL,,1440 DON MILLS RD,508042,1440,1440 Don Mills Rd,M3B 3M1,North York,Toronto,,441121,MULTIPOINT (-79.3475085093383 43.750732060267)
13,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,Toronto District School Board,400 SCARBOROUGH RD,10476656,400,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,Adam Beck Junior Public School,10476638,MULTIPOINT (-79.2884878925608 43.6831518038006)
14,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,,4340 DUFFERIN ST,5336735,4340,4340 Dufferin St,M3H 5R9,North York,Toronto,Revival Time Tabernacle,5336708,MULTIPOINT (-79.4664451058379 43.7626893702758)
15,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,Toronto District School Board,1430 SHEPPARD AVE W,10133016,1430,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,Sheppard Public School,10133008,MULTIPOINT (-79.4882606578029 43.7454243556118)
16,16,316926,AFZAL ISLAMIC MONTESSORI & ACADEMY,,33 CASEBRIDGE CRT,316926,33,33 Casebridge Crt,M1B 3J5,Scarborough,Toronto,,104065,MULTIPOINT (-79.1995461417982 43.8090844901631)
17,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,Toronto District School Board,2621 MIDLAND AVE,3211411,2621,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,Agincourt Collegiate Institute,3216896,MULTIPOINT (-79.2789099586918 43.7888738444071)
18,18,382096,AGINCOURT INTERNATIONAL ACADEMY,,1001 SANDHURST CRCL,382096,1001,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,,104203,MULTIPOINT (-79.2636771200357 43.8092576481457)
19,19,356507,AGINCOURT JR PUBLIC SCHOOL,Toronto District School Board,29 LOCKIE AVE,356507,29,29 Lockie Ave,M1S 1N3,Scarborough,Toronto,Agincourt Junior Public School,106335,MULTIPOINT (-79.2811623057309 43.7882592158345)
20,20,5479010,AGINCOURT MONTESSORI  ,,2575 MIDLAND AVE,5479010,2575,2575 Midland Ave,M1S 1R3,Scarborough,Toronto,,5479011,MULTIPOINT (-79.2787041824473 43.7864432730251)
21,21,30022742,AGNES MCPHAIL PUBLIC SCHOOL,Toronto District School Board,112 GOLDHAWK TRL,30022742,112,112 Goldhawk Trl,M1V 1W5,Scarborough,Toronto,,103439,MULTIPOINT (-79.2785533935458 43.819268975669)
22,22,10785753,AIM ACADEMY ISLAMIC SCHOOL,,56 BOUSTEAD AVE,10785753,56,56 Boustead Ave,M6R 1Y9,former Toronto,Toronto,The Canadian Islamic Trust,10785734,MULTIPOINT (-79.4544695238304 43.6533088679897)
23,23,2119588,AL AZHAR ISLAMIC SCHOOL,,100 MCLEVIN AVE,2119588,100,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,,2119589,MULTIPOINT (-79.2365750799133 43.8015539474172)
24,24,376316,AL HAADI SCHOOL,,690 PROGRESS AVE,376316,690,690 Progress Ave,M1H 3A6,Scarborough,Toronto,,107416,MULTIPOINT (-79.2484031068229 43.777941595248)
25,25,1017314,AL IKHLAAS FOUNDATION SCHOOL,,1245 MARTIN GROVE RD,1017314,1245,1245 Martin Grove Rd,M9W 4X2,Etobicoke,Toronto,,908132,MULTIPOINT (-79.5785365341563 43.7109597265285)
26,26,385458,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,,4386 SHEPPARD AVE E,385458,4386,4386 Sheppard Ave E,M1S 1T8,Scarborough,Toronto,,106449,MULTIPOINT (-79.270651634897 43.7874691720053)
27,27,508045,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,,1470 DON MILLS RD,508045,1470,1470 Don Mills Rd,M3B 2X9,North York,Toronto,,441121,MULTIPOINT (-79.3477301743604 43.7532181809796)
28,28,9311804,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,,1065 MCNICOLL AVE,9311804,1065,1065 McNicoll Ave,M1W 3W6,Scarborough,Toronto,,9311781,MULTIPOINT (-79.3326615935038 43.8036813180512)
29,29,9655748,ALAZHAR ACADEMY OF CANADA,,2074 KIPLING AVE,9655748,2074,2074 Kipling Ave,M9W 4J9,Etobicoke,Toronto,,9655707,MULTIPOINT (-79.5692116239686 43.7148769185254)
30,30,7531001,ALBERT CAMPBELL COLLEGIATE INSTITUTE,Toronto District School Board,1550 SANDHURST CRCL,7531001,1550,1550 Sandhurst Crcl,M1V 1S6,Scarborough,Toronto,Albert Campbell Collegiate Institute,7531000,MULTIPOINT (-79.272424472942 43.8092625383141)
31,31,10133520,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,Toronto District School Board,45 LYNMONT RD,10133520,45,45 Lynmont Rd,M9V 3W9,Etobicoke,Toronto,Albion Heights Public School,30065224,MULTIPOINT (-79.5943154958931 43.7313882639787)
32,32,982437,ALBION LINC,Toronto District School Board,1530 ALBION RD,982437,1530,1530 Albion Rd,M9V 1B4,Etobicoke,Toronto,,906946,MULTIPOINT (-79.5846021379965 43.7417625405401)
33,33,11125044,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,,20 TANGREEN CRT,11125044,20,20 Tangreen Crt,M2M 3Y9,North York,Toronto,,11125045,MULTIPOINT (-79.4261936575198 43.7954965800332)
34,34,10527839,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,Toronto District School Board,108 GLADSTONE AVE,10527839,108,108 Gladstone Ave,M6J 3L2,former Toronto,Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,10527836,MULTIPOINT (-79.4288472631571 43.6460212506421)
35,35,333733,ALEXANDER STIRLING PUBLIC SCHOOL,Toronto District School Board,70 FAWCETT TRL,333733,70,70 Fawcett Trl,M1B 3A9,Scarborough,Toronto,Alexander Stirling Public School,103838,MULTIPOINT (-79.2076059405385 43.8116563251017)
36,36,300827,ALEXMUIR JUNIOR PUBLIC SCHOOL,Toronto District School Board,95 ALEXMUIR BLVD,300827,95,95 Alexmuir Blvd,M1V 1H6,Scarborough,Toronto,Alexmuir Public School,104290,MULTIPOINT (-79.2856134903058 43.809109322683)
37,37,9779413,ALIF CANADA ELEMENTARY SCHOOL,,505 ELLESMERE RD,9779413,505,505 Ellesmere Rd,M1R 4E5,Scarborough,Toronto,Vineyard Christian Fellowship-Sc,30101335,MULTIPOINT (-79.2949212969799 43.7621567551346)
38,38,9345080,ALIVE CHRISTIAN ACADEMY INTERNATIONAL SCHOOL,,720 PROGRESS AVE,9345080,720,720 Progress Ave,M1H 2X3,Scarborough,Toronto,,9345078,MULTIPOINT (-79.2464970220292 43.7791840973881)
39,39,1029710,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,1435 ROYAL YORK RD,1029710,1435,1435 Royal York Rd,M9P 3A7,Etobicoke,Toronto,All Saints Catholic School,909246,MULTIPOINT (-79.5270811217707 43.6852216298202)
40,40,873148,ALLENBY JUNIOR PUBLIC SCHOOL,Toronto District School Board,391 ST CLEMENTS AVE,873148,391,391 St Clements Ave,M5N 1M2,former Toronto,Toronto,Allenby Junior Public School,1138238,MULTIPOINT (-79.4127877318278 43.7094356428595)
41,41,4368161,AL-MADRASAH AL-INAMYYAH,,3665 LAWRENCE AVE E,4368161,3665,3665 Lawrence Ave E,M1G 1P7,Scarborough,Toronto,,4368146,MULTIPOINT (-79.2204196021519 43.7603212832081)
42,42,3948771,ALPHA ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,20 BRANT ST,3948771,20,20 Brant St,M5V 2M1,former Toronto,Toronto,Alpha Alternative Junior Public School,14036014,MULTIPOINT (-79.3982225847432 43.6457220331711)
43,43,6710176,ALPHA II ALTERNATIVE SCHOOL,Toronto District School Board,1141 BLOOR ST W,6710176,1141,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,Bloor Collegiate Institute,6710177,MULTIPOINT (-79.4367968963581 43.65924610796)
44,44,30025396,ALPHA QUALITY EDUCATION INC,,6120A YONGE ST,30025396,6120A,6120A Yonge St,M2M 3W7,North York,Toronto,,436914,MULTIPOINT (-79.418932071581 43.7916222612949)
45,45,11512110,AL-QASIM ACADEMY,,3482 LAWRENCE AVE E,11512110,3482,3482 Lawrence Ave E,M1H 3E5,Scarborough,Toronto,,11485087,MULTIPOINT (-79.2270980416162 43.7601291638765)
46,46,489054,AL-RASSOOL ISLAMIC SCHOOL,,120 BERMONDSEY RD,489054,120,120 Bermondsey Rd,M4A 1X5,North York,Toronto,,444998,MULTIPOINT (-79.314609135376 43.7177128215758)
47,47,312808,ALTERNATIVE SCARBOROUGH EDUCATION ONE,Toronto District School Board,60 BRIMORTON DR,312808,60,60 Brimorton Dr,M1P 3Z1,Scarborough,Toronto,St. Andrews Public School,108579,MULTIPOINT (-79.2547962816571 43.766645247168)
48,48,30033029,ALVIN CURLING PUBLIC SCHOOL,Toronto District School Board,50 UPPER ROUGE TRL,30033029,50,50 Upper Rouge Trl,M1B 6K4,Scarborough,Toronto,Meadowvale Sheppard Public School,20057597,MULTIPOINT (-79.1902392505261 43.8084816562815)
49,49,9187246,AMAIRAH PRIVATE SCHOOL,,1625 ALBION RD,9187246,1625,1625 Albion Rd,M9V 5H8,Etobicoke,Toronto,,9187244,MULTIPOINT (-79.5945953168473 43.7417121222243)
50,50,20037304,AMANAH ISLAMIC ACADEMY   ,,1160 BIRCHMOUNT RD,20037304,1160,1160 Birchmount Rd,M1P 2B8,Scarborough,Toronto,,110728,MULTIPOINT (-79.2838287540102 43.7411259867154)
51,51,5145165,AMBERSON COLLEGE HIGH SCHOOL,,3470 PHARMACY AVE,5145165,3470,3470 Pharmacy Ave,M1W 2S7,Scarborough,Toronto,,5145162,MULTIPOINT (-79.3340562370886 43.8089116210937)
52,52,10035747,AMESBURY MIDDLE SCHOOL,Toronto District School Board,201 GRACEFIELD AVE,10035747,201,201 Gracefield Ave,M6L 1L7,North York,Toronto,Amesbury Middle School,10035736,MULTIPOINT (-79.4932822327979 43.7084286282992)
53,53,482522,ANCASTER PUBLIC SCHOOL,Toronto District School Board,44 ANCASTER RD,482522,44,44 Ancaster Rd,M3K 1S6,North York,Toronto,Ancaster Public School,30093012,MULTIPOINT (-79.4669926271694 43.732866171726)
54,54,7992305,ANNETTE STREET JUNIOR & SENIOR PUBLIC SCHOOL ,Toronto District School Board,265 ANNETTE ST,7992305,265,265 Annette St,M6P 1R3,former Toronto,Toronto,Annette Street Public School,7987734,MULTIPOINT (-79.4728312797592 43.6614231859019)
55,55,485399,ANNUNCIATION CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,65 AVONWICK GT,485399,65,65 Avonwick Gt,M3A 2M8,North York,Toronto,Annunciation Catholic School,440701,MULTIPOINT (-79.3210503278597 43.7531144810912)
56,56,358063,ANSON PARK PUBLIC SCHOOL,Toronto District School Board,30 MACDUFF CRES,358063,30,30 Macduff Cres,M1M 1X5,Scarborough,Toronto,Anson Park Public School,111602,MULTIPOINT (-79.2411154201694 43.7261289165667)
57,57,374465,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,Toronto District School Board,20 PLACENTIA BLVD,374465,20,20 Placentia Blvd,M1S 4C5,Scarborough,Toronto,Anson S Taylor Junior Public School,104662,MULTIPOINT (-79.2615613356444 43.8042919764275)
58,58,7131439,APOLLO HIGH SCHOOL,,5467 YONGE ST,7131439,5467,5467 Yonge St,M2N 5S1,North York,Toronto,,7131429,MULTIPOINT (-79.4147111812657 43.7778165673411)
59,59,571348,APPLE ACADEMIC ACHIEVMENT CANADA,,488 VAN HORNE AVE,571348,488,488 Van Horne Ave,M2J 2V2,North York,Toronto,,437213,MULTIPOINT (-79.339894533813 43.7871960727024)
60,60,3107754,ARBOR GLEN PUBLIC SCHOOL,Toronto District School Board,55 FRESHMEADOW DR,3107754,55,55 Freshmeadow Dr,M2H 3H6,North York,Toronto,Arbor Glen Public School,3107766,MULTIPOINT (-79.3557094447754 43.8094863867353)
61,61,35493,ARISTOTELE'S CREDIT SCHOOL,,30 THORNCLIFFE PARK DR,35493,30,30 Thorncliffe Park Dr,M4H 1H8,East York,Toronto,St Demetrious Church,30098783,MULTIPOINT (-79.3449506415866 43.7029584141068)
62,62,561783,ARKANA EDUCATION - PRIVATE HIGH SCHOOL,,209 SHEPPARD AVE E,561783,209,209 Sheppard Ave E,M2N 3A8,North York,Toronto,,30058814,MULTIPOINT (-79.3984878978841 43.7639158093321)
63,63,576041,ARMOUR HEIGHTS PUBLIC SCHOOL,Toronto District School Board,148 WILSON AVE,576041,148,148 Wilson Ave,M5M 3A5,North York,Toronto,Armour Heights Public School,20055791,MULTIPOINT (-79.4195222787578 43.7409100432478)
64,64,871450,ARROWSMITH SCHOOL - BLDG 1,,245 ST CLAIR AVE W,871450,245,245 St Clair Ave W,M4V 1R3,former Toronto,Toronto,,1139588,MULTIPOINT (-79.4057974161555 43.6854893204605)
65,65,871449,ARROWSMITH SCHOOL - BLDG 2,,243 ST CLAIR AVE W,871449,243,243 St Clair Ave W,M4V 1R3,former Toronto,Toronto,Russian Orthodox Church,1139588,MULTIPOINT (-79.4056854013319 43.6855028020622)
66,66,13516164,ASSOCIATED HEBREW JR SCHOOL - POSLUNS CAMPUS,,18 NEPTUNE DR,13516164,18,18 Neptune Dr,M6A 1X1,North York,Toronto,,10367830,MULTIPOINT (-79.4342526359219 43.7314993952097)
67,67,11129594,ASSOCIATED HEBREW MIDDLE SCHOOL - HURWICH CAMPUS,,252 FINCH AVE W,11129594,252,252 Finch Ave W,M2R 1M9,North York,Toronto,,11129595,MULTIPOINT (-79.4384699547393 43.7753161015838)
68,68,13977971,AVALON CHILDREN'S MONTESSORI,,2181 QUEEN ST E,13977971,2181,2181 Queen St E,M4E 1E5,former Toronto,Toronto,,8265442,MULTIPOINT (-79.297325301116 43.6704133895472)
69,69,485329,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,Toronto District School Board,171 AVONDALE AVE,485329,171,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,439906,MULTIPOINT (-79.4000020943236 43.7596784143197)
70,70,7315504,AVONDALE ALTERNATIVE SECONDARY SCHOOL,Toronto District School Board,24 SILVERVIEW DR,7315504,24,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,7315505,MULTIPOINT (-79.4118431542439 43.7863065106423)
71,71,485329,AVONDALE PUBLIC SCHOOL,Toronto District School Board,171 AVONDALE AVE,485329,171,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,439906,MULTIPOINT (-79.4000020943236 43.7596784143197)
72,72,1368930,AVRO ACADEMY,,1640A AVENUE RD,1368930,1640A,1640A Avenue Rd,M5M 3X9,North York,Toronto,,20364202,MULTIPOINT (-79.4174202535642 43.7259898430287)
73,73,9171677,BAIS CHAYA MUSHKA GIRLS   ,,4375 CHESSWOOD DR,9171677,4375,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,9171675,MULTIPOINT (-79.4774419814072 43.7607082264476)
74,74,487179,BAIS CHOMESH HS FOR GIRLS  ,,3600 BATHURST ST,487179,3600,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,443540,MULTIPOINT (-79.4330769430682 43.7311158004386)
75,75,559733,BAIS YAAKOV ELEMENTARY SCHOOL,,15 SARANAC BLVD,559733,15,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,444794,MULTIPOINT (-79.431869443854 43.721429256651)
76,76,325461,BAITUL MUKARRAM ACADEMY SCHOOL,,3334 DANFORTH AVE,325461,3334,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,,112943,MULTIPOINT (-79.2781378251157 43.6937302131784)
77,77,9848255,BALA AVENUE COMMUNITY SCHOOL,Toronto District School Board,6 BALA AVE,9848255,6,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,9848256,MULTIPOINT (-79.4990122716087 43.6894622237887)
78,78,62453,BALANCED EDUCATION NETWORK B.E.N. SCHOOL,,394 HARVIE AVE,62453,394,394 Harvie Ave,M6E 4L8,York,Toronto,,30119749,MULTIPOINT (-79.4546890976067 43.6875353134585)
79,79,7667200,BALMY BEACH COMMUNITY SCHOOL,Toronto District School Board,14 PINE AVE,7667200,14,14 Pine Ave,M4E 1L6,former Toronto,Toronto,"Balmy Beach Community School, Balmy Beach Community Recreation Centre",14673229,MULTIPOINT (-79.289826941499 43.6764359194877)
80,80,486277,BANNOCKBURN MONTESSORI  ,,12 BANNOCKBURN AVE,486277,12,12 Bannockburn Ave,M5M 2M8,North York,Toronto,,443339,MULTIPOINT (-79.4220900214957 43.7340229971509)
81,81,338836,BANTING AND BEST PUBLIC SCHOOL,Toronto District School Board,380 GOLDHAWK TRL,338836,380,380 Goldhawk Trl,M1V 4E7,Scarborough,Toronto,Banting & Best Public School,103029,MULTIPOINT (-79.2798335039423 43.8268714163484)
82,82,514037,BAY SCHOOL OF CANADA,,245 FAIRVIEW MALL DR,514037,245,245 Fairview Mall Dr,M2J 4T1,North York,Toronto,,437784,MULTIPOINT (-79.3418613934873 43.779729054192)
83,83,487550,BAYCREST PUBLIC SCHOOL,Toronto District School Board,145 BAYCREST AVE,487550,145,145 Baycrest Ave,M6A 1W4,North York,Toronto,Baycrest Public School,444124,MULTIPOINT (-79.4442515073691 43.7266057772143)
84,84,11414990,BAYVIEW GLEN PRIVATE SCHOOL,,85 MOATFIELD DR,11414990,85,85 Moatfield Dr,M3B 3L6,North York,Toronto,,11415001,MULTIPOINT (-79.3518336805625 43.7590325568427)
85,85,7963754,BAYVIEW MIDDLE SCHOOL,Toronto District School Board,25 BUNTY LANE,7963754,25,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,7963734,MULTIPOINT (-79.3852946788356 43.7762622265316)
86,86,876040,BEACHES ALTERNATIVE JUNIOR SCHOOL,Toronto District School Board,50 SWANWICK AVE,876040,50,50 Swanwick Ave,M4E 1Z5,former Toronto,Toronto,Kimberly Public School Junior,14016131,MULTIPOINT (-79.2991278839731 43.6826199722785)
87,87,7640837,BEACON OF LIGHT PRIVATE ELEMENTARY SCHOOL,,2191 GERRARD ST E,7640837,2191,2191 Gerrard St E,M4E 2C6,former Toronto,Toronto,,7640834,MULTIPOINT (-79.300828064662 43.6835603974233)
88,88,1019694,BEAUMONDE HEIGHTS JUNIOR MIDDLE SCHOOL,Toronto District School Board,70 MONTERREY DR,1019694,70,70 Monterrey Dr,M9V 1T1,Etobicoke,Toronto,Beaumonde Heights Public School,906829,MULTIPOINT (-79.5747551861525 43.7426035565314)
89,89,7792874,BEDFORD PARK PUBLIC SCHOOL,Toronto District School Board,81 RANLEIGH AVE,7792874,81,81 Ranleigh Ave,M4N 1X2,former Toronto,Toronto,Bedford Park Community Centre - Building Grounds,7792835,MULTIPOINT (-79.4002783723743 43.7277982581742)
90,90,9085421,"BEHAVIOUR INNOVATIONS, CHILDREN'S COLLEGE",,618 THE QUEENSWAY,9085421,618,618 The Queensway,M8Y 1K3,Etobicoke,Toronto,,9085417,MULTIPOINT (-79.4954821417463 43.6281819609662)
91,91,11485082,BEHTUNE MEMORIAL SCHOOL,,3000 LAWRENCE AVE E,11485082,3000,3000 Lawrence Ave E,M1P 2V1,Scarborough,Toronto,,11485062,MULTIPOINT (-79.2496002393537 43.7553058764084)
92,92,312976,BELLMERE JUNIOR PUBLIC SCHOOL ,Toronto District School Board,470 BRIMORTON DR,312976,470,470 Brimorton Dr,M1H 2E6,Scarborough,Toronto,Bellmere Junior Public School,108018,MULTIPOINT (-79.23514687523 43.7719692863916)
93,93,386802,BEN HEPPNER VOCAL MUSIC ACADEMY,Toronto District School Board,80 SLAN AVE,386802,80,80 Slan Ave,M1G 3B5,Scarborough,Toronto,Heather Heights Junior Public School,107600,MULTIPOINT (-79.2150687264433 43.7751558784252)
94,94,307066,BENDALE JUNIOR PUBLIC SCHOOL,Toronto District School Board,61 BENSHIRE DR,307066,61,61 Benshire Dr,M1H 1M4,Scarborough,Toronto,Bendale Junior Public School,108929,MULTIPOINT (-79.2448802576444 43.7625671183697)
95,95,2945619,BENNINGTON HEIGHTS ELEMENTARY SCHOOL,Toronto District School Board,76 BENNINGTON HEIGHTS DR,2945619,76,76 Bennington Heights Dr,M4G 1B1,East York,Toronto,Bennington Heights School,2945649,MULTIPOINT (-79.3687780820258 43.6939854007409)
96,96,3563886,BERKELEY ACADEMY OF CANADA,,5734 YONGE ST,3563886,5734,5734 Yonge St,M2M 4E7,North York,Toronto,,3563885,MULTIPOINT (-79.4168605979594 43.7827541057168)
97,97,307348,BERNER TRAIL JUNIOR PUBLIC SCHOOL,Toronto District School Board,120 BERNER TRL,307348,120,120 Berner Trl,M1B 1B3,Scarborough,Toronto,Berner Trail Junior Public School,104808,MULTIPOINT (-79.2211413058912 43.8014341079073)
98,98,17935,BESSBOROUGH DRIVE ELEMENTARY AND MIDDLE SCHOOL,Toronto District School Board,211 BESSBOROUGH DR,17935,211,211 Bessborough Dr,M4G 3K2,East York,Toronto,Bessborough Drive Public School,605,MULTIPOINT (-79.3701352031944 43.7072147378542)
99,99,535998,BETH JACOB PRIVATE HS  ,,410 LAWRENCE AVE W,535998,410,410 Lawrence Ave W,M5M 1C2,North York,Toronto,,444785,MULTIPOINT (-79.4237607656785 43.7207940844222)
100,100,363593,BETHUNE INTERNATIONAL ACADEMY,,3838 MIDLAND AVE,363593,3838,3838 Midland Ave,M1V 5K5,Scarborough,Toronto,,103479,MULTIPOINT (-79.2947427602857 43.8194042587414)
101,101,11485082,BETHUNE MEMORIAL SCHOOL,,3000 LAWRENCE AVE E,11485082,3000,3000 Lawrence Ave E,M1P 2V1,Scarborough,Toronto,,11485062,MULTIPOINT (-79.2496002393537 43.7553058764084)
102,102,570175,BEVERLEY HEIGHTS MIDDLE SCHOOL,Toronto District School Board,26 TROUTBROOKE DR,570175,26,26 Troutbrooke Dr,M3M 1S5,North York,Toronto,Beverly Heights Middle School,443483,MULTIPOINT (-79.5047717197305 43.7330245969924)
103,103,6350055,BEVERLEY SCHOOL,Toronto District School Board,64 BALDWIN ST,6350055,64,64 Baldwin St,M5T 1L4,former Toronto,Toronto,Beverley Public School,1144586,MULTIPOINT (-79.3957051033565 43.6557652368658)
104,104,307817,BEVERLY GLEN JUNIOR PUBLIC SCHOOL,Toronto District School Board,85 BEVERLY GLEN BLVD,307817,85,85 Beverly Glen Blvd,M1W 1W4,Scarborough,Toronto,Beverly Glen Junior Public School,14229540,MULTIPOINT (-79.3230676298928 43.7986530998679)
105,105,14615528,BIALIK HEBREW DAY SCHOOL,,2760 BATHURST ST,14615528,2760,2760 Bathurst St,M6B 3A1,North York,Toronto,,8985217,MULTIPOINT (-79.428122887706 43.7107064288581)
106,106,343964,BIRCH CLIFF HEIGHTS PUBLIC SCHOOL,Toronto District School Board,120 HIGHVIEW AVE,343964,120,120 Highview Ave,M1N 2J1,Scarborough,Toronto,Birch Cliff Heights Public School,112688,MULTIPOINT (-79.259816624788 43.7017413937537)
107,107,351953,BIRCH CLIFF PUBLIC SCHOOL,Toronto District School Board,1650 KINGSTON RD,351953,1650,1650 Kingston Rd,M1N 1S2,Scarborough,Toronto,Birch Cliff Public School,113039,MULTIPOINT (-79.2655686242961 43.6919887241508)
108,108,7156751,BIRCHAS SHMUEL PRIVATE SCHOOL,,465 PATRICIA AVE,7156751,465,465 Patricia Ave,M2R 2N1,North York,Toronto,Synagogue,30115595,MULTIPOINT (-79.4440107260137 43.7840867068011)
109,109,325504,BIRCHMOUNT PARK COLLEGIATE INSTITUTE,Toronto District School Board,3663 DANFORTH AVE,325504,3663,3663 Danforth Ave,M1N 2G2,Scarborough,Toronto,Birchmount Park Collegiate Institute,112815,MULTIPOINT (-79.2594545253619 43.697753029491)
110,110,10142921,BISHOP ALLEN ACADEMY,Toronto Catholic District School Board,721 ROYAL YORK RD,10142921,721,721 Royal York Rd,M8Y 2T3,Etobicoke,Toronto,Bishop Allen Academy,10142922,MULTIPOINT (-79.5044646880695 43.6344279205779)
111,111,30024946,BISHOP MACDONELL CATHOLIC ELEMENTARY SCHOOL,Toronto Catholic District School Board,20 BRUNEL CRT,30024946,20,20 Brunel Crt,M5V 0R5,former Toronto,Toronto,,20035049,MULTIPOINT (-79.3944968858206 43.6394568233632)
112,112,9638444,BISHOP MARROCCO THOMAS MERTON CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,1515 BLOOR ST W,9638444,1515,1515 Bloor St W,M6P 1A3,former Toronto,Toronto,Bishop Marrocco/Thomas Merton Catholic School,9638443,MULTIPOINT (-79.4518077136626 43.655857833558)
113,113,834715,BISHOP STRACHAN   ,,298 LONSDALE RD,834715,298,298 Lonsdale Rd,M4V 1X2,former Toronto,Toronto,,1139289,MULTIPOINT (-79.4093249176371 43.690345107705)
