_id,OBJECTID,GEO_ID,NAME,BOARD_NAME,SOURCE_ADDRESS,ADDRESS_POINT_ID,ADDRESS_NUMBER,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,CENTRELINE_ID,geometry
618,618,14190826,MARKHAM INTERNATIONAL COLLEGE SCHOOL,,3195 SHEPPARD AVE E,14190826,3195,3195 Sheppard Ave E,M1T 3K1,Scarborough,Toronto,,4346973,MULTIPOINT (-79.3123750699993 43.7775196027569)
619,619,14244594,MARSHALL MCLUHAN CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,1107 AVENUE RD,14244594,1107,1107 Avenue Rd,M5N 3B1,former Toronto,Toronto,Marshall McLuhan Catholic School,1138318,MULTIPOINT (-79.4097351629606 43.7076002456651)
620,620,8087277,MARTINGROVE COLLEGIATE INSTITUTE,Toronto District School Board,50 WINTERTON DR,8087277,50,50 Winterton Dr,M9B 3G7,Etobicoke,Toronto,Martingrove Collegiate Institute,8087278,MULTIPOINT (-79.5607396403649 43.6733827722511)
621,621,14207557,MARY MOTHER OF GOD  ,,1515A QUEEN ST W,14207557,1515A,1515A Queen St W,M6R 1A5,former Toronto,Toronto,,10759863,MULTIPOINT (-79.4414399434733 43.6392854032575)
622,622,6947413,MARY SHADD PUBLIC SCHOOL,Toronto District School Board,135 HUPFIELD TRL,6947413,135,135 Hupfield Trl,M1B 4R6,Scarborough,Toronto,Mary Shadd Public School,6947409,MULTIPOINT (-79.2183240428671 43.8143956979563)
623,623,9467845,MARY WARD CATHOLIC SECONDARY SCHOOL,Toronto Catholic District School Board,3200 KENNEDY RD,9467845,3200,3200 Kennedy Rd,M1V 3S8,Scarborough,Toronto,Mary Ward Catholic Secondary School,9467832,MULTIPOINT (-79.3039400656995 43.8157534238129)
624,624,349763,MARY WARD LINC AND ESL CENTRE,Toronto Catholic District School Board,44 KELVINWAY DR,349763,44,44 Kelvinway Dr,M1W 1N6,Scarborough,Toronto,Mary Ward Linc and Esl Centre,106182,MULTIPOINT (-79.3241164541271 43.7918372535513)
625,625,2820814,MARYVALE PUBLIC SCHOOL,Toronto District School Board,1325 PHARMACY AVE,2820814,1325,1325 Pharmacy Ave,M1R 2J1,Scarborough,Toronto,Maryvale Public School,2820803,MULTIPOINT (-79.307836183235 43.754822068202)
626,626,360667,MASON ROAD JUNIOR PUBLIC SCHOOL,Toronto District School Board,78 MASON RD,360667,78,78 Mason Rd,M1M 3R2,Scarborough,Toronto,Mason Road Junior Public School,110821,MULTIPOINT (-79.2256545935691 43.7390564379521)
627,627,8594438,MATRIX ACADEMY,,4995 KEELE ST,8594438,4995,4995 Keele St,M3J 3B2,North York,Toronto,Keele Reservoir,30102886,MULTIPOINT (-79.4940174471407 43.779640021511)
