_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
38,38,9345080,ALIVE CHRISTIAN ACADEMY INTERNATIONAL SCHOOL,None,PR,None,720 PROGRESS AVE,Private,9345080,720,Progress Ave,720 Progress Ave,M1H 2X3,Scarborough,Toronto,None,115001,9345078,720,None,,None,8740,"{'type': 'Point', 'coordinates': (-1366056.2623624457, 5062906.9039408965)}"
39,39,1029710,ALL SAINTS CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,1435 ROYAL YORK RD,English Separate,1029710,1435,Royal York Rd,1435 Royal York Rd,M9P 3A7,Etobicoke,Toronto,All Saints Catholic School,102003,909246,1435,None,,None,2413,"{'type': 'Point', 'coordinates': (-1391430.4482764695, 5058428.060628509)}"
40,40,873148,ALLENBY JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,391 ST CLEMENTS AVE,English Public,873148,391,St Clements Ave,391 St Clements Ave,M5N 1M2,former Toronto,Toronto,Allenby Junior Public School,102001,1138238,391,None,,None,4446,"{'type': 'Point', 'coordinates': (-1381498.3848298804, 5058678.701524416)}"
41,41,4368161,AL-MADRASAH AL-INAMYYAH,None,PR,None,3665 LAWRENCE AVE E,Private,4368161,3665,Lawrence Ave E,3665 Lawrence Ave E,M1G 1P7,Scarborough,Toronto,None,112001,4368146,3665,None,,None,3828,"{'type': 'Point', 'coordinates': (-1364504.9280517828, 5060259.563569338)}"
42,42,3948771,ALPHA ALTERNATIVE JUNIOR SCHOOL,None,EP,Toronto District School Board,20 BRANT ST,English Public,3948771,20,Brant St,20 Brant St,M5V 2M1,former Toronto,Toronto,Alpha Alternative Junior Public School,102001,14036014,20,None,,None,3055,"{'type': 'Point', 'coordinates': (-1382192.5290020586, 5051283.841619181)}"
43,43,6710176,ALPHA II ALTERNATIVE SCHOOL,None,EP,Toronto District School Board,1141 BLOOR ST W,English Public,6710176,1141,Bloor St W,1141 Bloor St W,M6H 1M9,former Toronto,Toronto,Bloor Collegiate Institute,102002,6710177,1141,None,,None,458,"{'type': 'Point', 'coordinates': (-1384909.74316502, 5053609.62186121)}"
44,44,30025396,ALPHA QUALITY EDUCATION INC,None,PR,None,6120A YONGE ST,Private,30025396,6120A,Yonge St,6120A Yonge St,M2M 3W7,North York,Toronto,None,115001,436914,6120,A,,None,4733,"{'type': 'Point', 'coordinates': (-1379577.9124861448, 5067946.971992698)}"
45,45,11512110,AL-QASIM ACADEMY,None,PR,None,3482 LAWRENCE AVE E,Private,11512110,3482,Lawrence Ave E,3482 Lawrence Ave E,M1H 3E5,Scarborough,Toronto,None,107005,11485087,3482,None,,None,3828,"{'type': 'Point', 'coordinates': (-1365048.5909727945, 5060379.04743033)}"
46,46,489054,AL-RASSOOL ISLAMIC SCHOOL,None,PR,None,120 BERMONDSEY RD,Private,489054,120,Bermondsey Rd,120 Bermondsey Rd,M4A 1X5,North York,Toronto,None,113001,444998,120,None,,None,31,"{'type': 'Point', 'coordinates': (-1373339.0296636666, 5057513.188009571)}"
47,47,312808,ALTERNATIVE SCARBOROUGH EDUCATION ONE,None,EP,Toronto District School Board,60 BRIMORTON DR,English Public,312808,60,Brimorton Dr,60 Brimorton Dr,M1P 3Z1,Scarborough,Toronto,St. Andrews Public School,102001,108579,60,None,,None,7437,"{'type': 'Point', 'coordinates': (-1367090.2458644633, 5061688.157452619)}"
48,48,30033029,ALVIN CURLING PUBLIC SCHOOL,None,EP,Toronto District School Board,50 UPPER ROUGE TRL,English Public,30033029,50,Upper Rouge Trl,50 Upper Rouge Trl,M1B 6K4,Scarborough,Toronto,Meadowvale Sheppard Public School,102002,20057597,50,None,,None,18115,"{'type': 'Point', 'coordinates': (-1360673.7280908339, 5064977.88643816)}"
49,49,9187246,AMAIRAH PRIVATE SCHOOL,None,PR,None,1625 ALBION RD,Private,9187246,1625,Albion Rd,1625 Albion Rd,M9V 5H8,Etobicoke,Toronto,None,115001,9187244,1625,None,,None,1012,"{'type': 'Point', 'coordinates': (-1395202.4708215466, 5066158.122096588)}"
50,50,20037304,AMANAH ISLAMIC ACADEMY   ,None,PR,None,1160 BIRCHMOUNT RD,Private,20037304,1160,Birchmount Rd,1160 Birchmount Rd,M1P 2B8,Scarborough,Toronto,None,113001,110728,1160,None,,None,7365,"{'type': 'Point', 'coordinates': (-1370173.9610521672, 5059464.666062023)}"
51,51,5145165,AMBERSON COLLEGE HIGH SCHOOL,None,PR,None,3470 PHARMACY AVE,Private,5145165,3470,Pharmacy Ave,3470 Pharmacy Ave,M1W 2S7,Scarborough,Toronto,None,113001,5145162,3470,None,,None,8691,"{'type': 'Point', 'coordinates': (-1372237.5210037576, 5068064.683306527)}"
52,52,10035747,AMESBURY MIDDLE SCHOOL,None,EP,Toronto District School Board,201 GRACEFIELD AVE,English Public,10035747,201,Gracefield Ave,201 Gracefield Ave,M6L 1L7,North York,Toronto,Amesbury Middle School,102001,10035736,201,None,,None,5729,"{'type': 'Point', 'coordinates': (-1388019.3470449923, 5060284.865789198)}"
53,53,482522,ANCASTER PUBLIC SCHOOL,None,EP,Toronto District School Board,44 ANCASTER RD,English Public,482522,44,Ancaster Rd,44 Ancaster Rd,M3K 1S6,North York,Toronto,Ancaster Public School,102001,30093012,44,None,,None,4795,"{'type': 'Point', 'coordinates': (-1385179.4350831131, 5062440.015244252)}"
54,54,7992305,ANNETTE STREET JUNIOR & SENIOR PUBLIC SCHOOL ,None,EP,Toronto District School Board,265 ANNETTE ST,English Public,7992305,265,Annette St,265 Annette St,M6P 1R3,former Toronto,Toronto,Annette Street Public School,102001,7987734,265,None,,None,2890,"{'type': 'Point', 'coordinates': (-1387754.3287048265, 5054620.956285857)}"
55,55,485399,ANNUNCIATION CATHOLIC ELEMENTARY SCHOOL,None,ES,Toronto Catholic District School Board,65 AVONWICK GT,English Separate,485399,65,Avonwick Gt,65 Avonwick Gt,M3A 2M8,North York,Toronto,Annunciation Catholic School,102003,440701,65,None,,None,4855,"{'type': 'Point', 'coordinates': (-1372823.2895603147, 5061585.794958971)}"
56,56,358063,ANSON PARK PUBLIC SCHOOL,None,EP,Toronto District School Board,30 MACDUFF CRES,English Public,358063,30,Macduff Cres,30 Macduff Cres,M1M 1X5,Scarborough,Toronto,Anson Park Public School,102001,111602,30,None,,None,8385,"{'type': 'Point', 'coordinates': (-1367168.0393927775, 5056894.567549105)}"
57,57,374465,ANSON S TAYLOR JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,20 PLACENTIA BLVD,English Public,374465,20,Placentia Blvd,20 Placentia Blvd,M1S 4C5,Scarborough,Toronto,Anson S Taylor Junior Public School,102001,104662,20,None,,None,8711,"{'type': 'Point', 'coordinates': (-1366537.0264799434, 5066016.3716412345)}"
58,58,7131439,APOLLO HIGH SCHOOL,None,PR,None,5467 YONGE ST,Private,7131439,5467,Yonge St,5467 Yonge St,M2N 5S1,North York,Toronto,None,107010,7131429,5467,None,,None,4733,"{'type': 'Point', 'coordinates': (-1379644.0264864885, 5066322.274748313)}"
59,59,571348,APPLE ACADEMIC ACHIEVMENT CANADA,None,PR,None,488 VAN HORNE AVE,Private,571348,488,Van Horne Ave,488 Van Horne Ave,M2J 2V2,North York,Toronto,None,100001,437213,488,None,,None,6984,"{'type': 'Point', 'coordinates': (-1373343.660344141, 5065774.459190268)}"
60,60,3107754,ARBOR GLEN PUBLIC SCHOOL,None,EP,Toronto District School Board,55 FRESHMEADOW DR,English Public,3107754,55,Freshmeadow Dr,55 Freshmeadow Dr,M2H 3H6,North York,Toronto,Arbor Glen Public School,102001,3107766,55,None,,None,5647,"{'type': 'Point', 'coordinates': (-1373963.5680235226, 5068588.11854896)}"
61,61,35493,ARISTOTELE'S CREDIT SCHOOL,None,PR,None,30 THORNCLIFFE PARK DR,Private,35493,30,Thorncliffe Park Dr,30 Thorncliffe Park Dr,M4H 1H8,East York,Toronto,St Demetrious Church,109001,30098783,30,None,,None,354,"{'type': 'Point', 'coordinates': (-1376217.290183558, 5056516.124143862)}"
62,62,561783,ARKANA EDUCATION - PRIVATE HIGH SCHOOL,None,PR,None,209 SHEPPARD AVE E,Private,561783,209,Sheppard Ave E,209 Sheppard Ave E,M2N 3A8,North York,Toronto,None,107005,30058814,209,None,,None,6698,"{'type': 'Point', 'coordinates': (-1378745.7574676657, 5064431.450975262)}"
63,63,576041,ARMOUR HEIGHTS PUBLIC SCHOOL,None,EP,Toronto District School Board,148 WILSON AVE,English Public,576041,148,Wilson Ave,148 Wilson Ave,M5M 3A5,North York,Toronto,Armour Heights Public School,102001,20055791,148,None,,None,4693,"{'type': 'Point', 'coordinates': (-1381116.5994527314, 5062321.6413034)}"
64,64,871450,ARROWSMITH SCHOOL - BLDG 1,None,PR,None,245 ST CLAIR AVE W,Private,871450,245,St Clair Ave W,245 St Clair Ave W,M4V 1R3,former Toronto,Toronto,None,112001,1139588,245,None,,None,890,"{'type': 'Point', 'coordinates': (-1381637.513371203, 5055867.203986256)}"
65,65,871449,ARROWSMITH SCHOOL - BLDG 2,None,PR,None,243 ST CLAIR AVE W,Private,871449,243,St Clair Ave W,243 St Clair Ave W,M4V 1R3,former Toronto,Toronto,Russian Orthodox Church,109001,1139588,243,None,,None,890,"{'type': 'Point', 'coordinates': (-1381628.0804052567, 5055866.317989306)}"
66,66,13516164,ASSOCIATED HEBREW JR SCHOOL - POSLUNS CAMPUS,None,PR,None,18 NEPTUNE DR,Private,13516164,18,Neptune Dr,18 Neptune Dr,M6A 1X1,North York,Toronto,None,102008,10367830,18,None,,None,6275,"{'type': 'Point', 'coordinates': (-1382580.5800262631, 5061589.328996195)}"
67,67,11129594,ASSOCIATED HEBREW MIDDLE SCHOOL - HURWICH CAMPUS,None,PR,None,252 FINCH AVE W,Private,11129594,252,Finch Ave W,252 Finch Ave W,M2R 1M9,North York,Toronto,None,115001,11129595,252,None,,None,1610,"{'type': 'Point', 'coordinates': (-1381631.1167640504, 5066550.6908236565)}"
68,68,13977971,AVALON CHILDREN'S MONTESSORI,None,PR,None,2181 QUEEN ST E,Private,13977971,2181,Queen St E,2181 Queen St E,M4E 1E5,former Toronto,Toronto,None,115001,8265442,2181,None,,None,4237,"{'type': 'Point', 'coordinates': (-1373325.7440278104, 5051887.672709292)}"
69,69,485329,AVONDALE ALTERNATIVE ELEMENTARY SCHOOL,None,EP,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,115001,439906,171,None,,None,4853,"{'type': 'Point', 'coordinates': (-1378992.2031400823, 5063992.582676164)}"
70,70,7315504,AVONDALE ALTERNATIVE SECONDARY SCHOOL,None,EP,Toronto District School Board,24 SILVERVIEW DR,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,102001,7315505,24,None,,None,6720,"{'type': 'Point', 'coordinates': (-1379163.43588571, 5067205.021162692)}"
71,71,485329,AVONDALE PUBLIC SCHOOL,None,EP,Toronto District School Board,171 AVONDALE AVE,English Public,485329,171,Avondale Ave,171 Avondale Ave,M2N 2V4,North York,Toronto,Avondale Alternative School,115001,439906,171,None,,None,4853,"{'type': 'Point', 'coordinates': (-1378992.2031400823, 5063992.582676164)}"
72,72,1368930,AVRO ACADEMY,None,PR,None,1640A AVENUE RD,Private,1368930,1640A,Avenue Rd,1640A Avenue Rd,M5M 3X9,North York,Toronto,None,115001,20364202,1640,A,,None,2924,"{'type': 'Point', 'coordinates': (-1381385.6294889327, 5060617.989283974)}"
73,73,9171677,BAIS CHAYA MUSHKA GIRLS   ,None,PR,None,4375 CHESSWOOD DR,Private,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,None,115001,9171675,4375,None,,None,5187,"{'type': 'Point', 'coordinates': (-1385200.8144234132, 5065758.70346001)}"
74,74,487179,BAIS CHOMESH HS FOR GIRLS  ,None,PR,None,3600 BATHURST ST,Private,487179,3600,Bathurst St,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,109001,443540,3600,None,,None,436,"{'type': 'Point', 'coordinates': (-1382497.0898774327, 5061521.61077526)}"
75,75,559733,BAIS YAAKOV ELEMENTARY SCHOOL,None,PR,None,15 SARANAC BLVD,Private,559733,15,Saranac Blvd,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,102005,444794,15,None,,None,6657,"{'type': 'Point', 'coordinates': (-1382684.5829689596, 5060418.875180629)}"
76,76,325461,BAITUL MUKARRAM ACADEMY SCHOOL,None,PR,None,3334 DANFORTH AVE,Private,325461,3334,Danforth Ave,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,None,104008,112943,3334,None,,None,86,"{'type': 'Point', 'coordinates': (-1371097.5762724453, 5054074.404013851)}"
77,77,9848255,BALA AVENUE COMMUNITY SCHOOL,None,EP,Toronto District School Board,6 BALA AVE,English Public,9848255,6,Bala Ave,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,102001,9848256,6,None,,None,428,"{'type': 'Point', 'coordinates': (-1389040.8451350334, 5058298.576985078)}"
78,78,62453,BALANCED EDUCATION NETWORK B.E.N. SCHOOL,None,PR,None,394 HARVIE AVE,Private,62453,394,Harvie Ave,394 Harvie Ave,M6E 4L8,York,Toronto,None,100001,30119749,394,None,,None,648,"{'type': 'Point', 'coordinates': (-1385521.8739642354, 5057137.064146156)}"
79,79,7667200,BALMY BEACH COMMUNITY SCHOOL,None,EP,Toronto District School Board,14 PINE AVE,English Public,7667200,14,Pine Ave,14 Pine Ave,M4E 1L6,former Toronto,Toronto,"Balmy Beach Community School, Balmy Beach Community Recreation Centre",106007,14673229,14,None,,None,4190,"{'type': 'Point', 'coordinates': (-1372544.960666949, 5052398.647509123)}"
80,80,486277,BANNOCKBURN MONTESSORI  ,None,PR,None,12 BANNOCKBURN AVE,Private,486277,12,Bannockburn Ave,12 Bannockburn Ave,M5M 2M8,North York,Toronto,None,102005,443339,12,None,,None,4880,"{'type': 'Point', 'coordinates': (-1381525.9894296974, 5061610.643232874)}"
81,81,338836,BANTING AND BEST PUBLIC SCHOOL,None,EP,Toronto District School Board,380 GOLDHAWK TRL,English Public,338836,380,Goldhawk Trl,380 Goldhawk Trl,M1V 4E7,Scarborough,Toronto,Banting & Best Public School,102001,103029,380,None,,None,7999,"{'type': 'Point', 'coordinates': (-1367348.3200767126, 5068912.699548335)}"
