_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
1,1,330677,A PLUS ACADEMY OF ADVANCEMENT,None,PR,None,2425 EGLINTON AVE E,Private,330677,2425,Eglinton Ave E,2425 Eglinton Ave E,M1K 5G8,Scarborough,Toronto,None,104008,111254,2425,None,,None,125,"{'type': 'Point', 'coordinates': (-1369089.6885556295, 5058105.431008974)}"
2,2,524780,A R S ARMENIAN PRIVATE SCHOOL,None,PR,None,50 HALLCROWN PL,Private,524780,50,Hallcrown Pl,50 Hallcrown Pl,M2J 1P7,North York,Toronto,None,104008,438652,50,None,,None,5778,"{'type': 'Point', 'coordinates': (-1372497.4433240322, 5063513.621983322)}"
3,3,20258267,A Y J GLOBAL ACADEMY,None,PR,None,4 LANSING SQ,Private,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,None,104008,438287,4,None,,None,6007,"{'type': 'Point', 'coordinates': (-1372545.487623671, 5064005.280317834)}"
4,4,517961,A Y JACKSON SECONDARY SCHOOL,None,EP,Toronto District School Board,50 FRANCINE DR,English Public,517961,50,Francine Dr,50 Francine Dr,M2H 2G6,North York,Toronto,A. Y. Jackson Secondary School,102002,436260,50,None,,None,5639,"{'type': 'Point', 'coordinates': (-1374960.5299874898, 5068348.809871288)}"
5,5,13967401,ABACUS MONTESSORI LEARNING CENTRE,None,PR,None,4 CREDIT UNION DR,Private,13967401,4,Credit Union Dr,4 Credit Union Dr,M4A 2N8,North York,Toronto,Latvian Canadian Centre,106007,444179,4,None,,None,5294,"{'type': 'Point', 'coordinates': (-1373468.2454528264, 5058464.755572043)}"
6,6,4605052,ABU BAKR EDUCATION ACADEMY,None,PR,None,2665 LAWRENCE AVE E,Private,4605052,2665,Lawrence Ave E,2665 Lawrence Ave E,M1P 2S2,Scarborough,Toronto,None,112001,4605051,2665,None,,None,3828,"{'type': 'Point', 'coordinates': (-1368126.7076478852, 5060154.796806297)}"
7,7,8087266,ACACIA INTERNATIONAL HIGH SCHOOL,None,PR,None,5415 DUNDAS ST W,Private,8087266,5415,Dundas St W,5415 Dundas St W,M9B 1B5,Etobicoke,Toronto,None,115001,8087218,5415,None,,None,558,"{'type': 'Point', 'coordinates': (-1394090.9967758027, 5053032.917118893)}"
8,8,322971,ACADEMIE ALEXANDRE DUMAS,None,FP,Conseil scolaire Viamonde,255 CORONATION DR,French Public,322971,255,Coronation Dr,255 Coronation Dr,M1E 2J3,Scarborough,Toronto,Academie Alexandre Dumas,102001,108815,255,None,,None,7654,"{'type': 'Point', 'coordinates': (-1361168.552938358, 5059636.460303983)}"
9,9,575619,ACADEMY OF EXCELLENCE  ,None,PR,None,128 WILLOWDALE AVE,Private,575619,128,Willowdale Ave,128 Willowdale Ave,M2N 4Y2,North York,Toronto,None,112001,439396,128,None,,None,7093,"{'type': 'Point', 'coordinates': (-1378870.9796697567, 5064615.640363921)}"
10,10,30029356,ACADEMY OF MATH AND ENGLISH,None,PR,None,5101 DUNDAS ST W,Private,30029356,5101,Dundas St W,5101 Dundas St W,M9A 5G8,Etobicoke,Toronto,None,112001,30012612,5101,None,,None,558,"{'type': 'Point', 'coordinates': (-1393019.3753461137, 5054041.160900559)}"
11,11,9311790,ACADEMY OF NEW ECHO EDUCATION,None,PR,None,1041 MCNICOLL AVE,Private,9311790,1041,McNicoll Ave,1041 McNicoll Ave,M1W 3W6,Scarborough,Toronto,None,115001,9311781,1041,None,,None,6195,"{'type': 'Point', 'coordinates': (-1372410.5768002118, 5067544.375864073)}"
12,12,508042,ACE ACUMEN HIGH SCHOOL,None,PR,None,1440 DON MILLS RD,Private,508042,1440,Don Mills Rd,1440 Don Mills Rd,M3B 3M1,North York,Toronto,None,104008,441121,1440,None,,None,100,"{'type': 'Point', 'coordinates': (-1375024.9971523872, 5061882.150606011)}"
13,13,10476656,ADAM BECK JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,400 SCARBOROUGH RD,English Public,10476656,400,Scarborough Rd,400 Scarborough Rd,M4E 3M8,former Toronto,Toronto,Adam Beck Junior Public School,102001,10476638,400,None,,None,4366,"{'type': 'Point', 'coordinates': (-1372241.0500279944, 5053117.100640278)}"
14,14,5336735,ADELFIHA'S CHRISTIAN ACADEMY,None,PR,None,4340 DUFFERIN ST,Private,5336735,4340,Dufferin St,4340 Dufferin St,M3H 5R9,North York,Toronto,Revival Time Tabernacle,109001,5336708,4340,None,,None,557,"{'type': 'Point', 'coordinates': (-1384256.4772716411, 5065744.01035177)}"
15,15,10133016,AFRICENTRIC ALTERNATIVE SCHOOL,None,EP,Toronto District School Board,1430 SHEPPARD AVE W,English Public,10133016,1430,Sheppard Ave W,1430 Sheppard Ave W,M3M 2W9,North York,Toronto,Sheppard Public School,102001,10133008,1430,None,,None,6699,"{'type': 'Point', 'coordinates': (-1386523.3324486604, 5064290.766406375)}"
16,16,316926,AFZAL ISLAMIC MONTESSORI & ACADEMY,None,PR,None,33 CASEBRIDGE CRT,Private,316926,33,Casebridge Crt,33 Casebridge Crt,M1B 3J5,Scarborough,Toronto,None,113001,104065,33,None,,None,7522,"{'type': 'Point', 'coordinates': (-1361405.3527917322, 5065240.872570286)}"
17,17,3211411,AGINCOURT COLLEGIATE INSTITUTE,None,EP,Toronto District School Board,2621 MIDLAND AVE,English Public,3211411,2621,Midland Ave,2621 Midland Ave,M1S 1R6,Scarborough,Toronto,Agincourt Collegiate Institute,102002,3216896,2621,None,,None,8496,"{'type': 'Point', 'coordinates': (-1368383.8484939167, 5064669.094212012)}"
18,18,382096,AGINCOURT INTERNATIONAL ACADEMY,None,PR,None,1001 SANDHURST CRCL,Private,382096,1001,Sandhurst Crcl,1001 Sandhurst Crcl,M1V 1Z6,Scarborough,Toronto,None,107005,104203,1001,None,,None,8871,"{'type': 'Point', 'coordinates': (-1366562.4277943529, 5066613.10264267)}"
19,19,356507,AGINCOURT JR PUBLIC SCHOOL,None,EP,Toronto District School Board,29 LOCKIE AVE,English Public,356507,29,Lockie Ave,29 Lockie Ave,M1S 1N3,Scarborough,Toronto,Agincourt Junior Public School,102001,106335,29,None,,None,8352,"{'type': 'Point', 'coordinates': (-1368583.1644197505, 5064648.404848842)}"
20,20,5479010,AGINCOURT MONTESSORI  ,None,PR,None,2575 MIDLAND AVE,Private,5479010,2575,Midland Ave,2575 Midland Ave,M1S 1R3,Scarborough,Toronto,None,115001,5479011,2575,None,,None,8496,"{'type': 'Point', 'coordinates': (-1368438.247605217, 5064394.531055041)}"
21,21,30022742,AGNES MCPHAIL PUBLIC SCHOOL,None,EP,Toronto District School Board,112 GOLDHAWK TRL,English Public,30022742,112,Goldhawk Trl,112 Goldhawk Trl,M1V 1W5,Scarborough,Toronto,None,102001,103439,112,None,,None,7999,"{'type': 'Point', 'coordinates': (-1367467.4191692576, 5068040.513899867)}"
22,22,10785753,AIM ACADEMY ISLAMIC SCHOOL,None,PR,None,56 BOUSTEAD AVE,Private,10785753,56,Boustead Ave,56 Boustead Ave,M6R 1Y9,former Toronto,Toronto,The Canadian Islamic Trust,109001,10785734,56,None,,None,3041,"{'type': 'Point', 'coordinates': (-1386510.8604552292, 5053326.480586949)}"
23,23,2119588,AL AZHAR ISLAMIC SCHOOL,None,PR,None,100 MCLEVIN AVE,Private,2119588,100,McLevin Ave,100 McLevin Ave,M1B 5K1,Scarborough,Toronto,None,113001,2119589,100,None,,None,8463,"{'type': 'Point', 'coordinates': (-1364605.4080458693, 5065184.363692585)}"
24,24,376316,AL HAADI SCHOOL,None,PR,None,690 PROGRESS AVE,Private,376316,690,Progress Ave,690 Progress Ave,M1H 3A6,Scarborough,Toronto,None,113001,107416,690,None,,None,8740,"{'type': 'Point', 'coordinates': (-1366245.992818863, 5062809.016756482)}"
25,25,1017314,AL IKHLAAS FOUNDATION SCHOOL,None,PR,None,1245 MARTIN GROVE RD,Private,1017314,1245,Martin Grove Rd,1245 Martin Grove Rd,M9W 4X2,Etobicoke,Toronto,None,113001,908132,1245,None,,None,2066,"{'type': 'Point', 'coordinates': (-1394819.4803182695, 5062393.877103878)}"
26,26,385458,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - BRIMLEY,None,PR,None,4386 SHEPPARD AVE E,Private,385458,4386,Sheppard Ave E,4386 Sheppard Ave E,M1S 1T8,Scarborough,Toronto,None,107005,106449,4386,None,,None,6698,"{'type': 'Point', 'coordinates': (-1367759.8548631524, 5064338.308875417)}"
27,27,508045,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - NORTH YORK,None,PR,None,1470 DON MILLS RD,Private,508045,1470,Don Mills Rd,1470 Don Mills Rd,M3B 2X9,North York,Toronto,None,104008,441121,1470,None,,None,100,"{'type': 'Point', 'coordinates': (-1374970.0466174341, 5062163.260965209)}"
28,28,9311804,ALATHENA INTERNATIONAL ACADEMY SECONDARY SCHOOL - SCARBOROUGH,None,PR,None,1065 MCNICOLL AVE,Private,9311804,1065,McNicoll Ave,1065 McNicoll Ave,M1W 3W6,Scarborough,Toronto,None,115001,9311781,1065,None,,None,6195,"{'type': 'Point', 'coordinates': (-1372278.458737825, 5067453.669516024)}"
29,29,9655748,ALAZHAR ACADEMY OF CANADA,None,PR,None,2074 KIPLING AVE,Private,9655748,2074,Kipling Ave,2074 Kipling Ave,M9W 4J9,Etobicoke,Toronto,None,115001,9655707,2074,None,,None,1935,"{'type': 'Point', 'coordinates': (-1393951.555166616, 5062629.119306724)}"
30,30,7531001,ALBERT CAMPBELL COLLEGIATE INSTITUTE,None,EP,Toronto District School Board,1550 SANDHURST CRCL,English Public,7531001,1550,Sandhurst Crcl,1550 Sandhurst Crcl,M1V 1S6,Scarborough,Toronto,Albert Campbell Collegiate Institute,102002,7531000,1550,None,,None,8871,"{'type': 'Point', 'coordinates': (-1367266.3821083049, 5066798.543786507)}"
31,31,10133520,ALBION HEIGHTS JUNIOR MIDDLE SCHOOL,None,EP,Toronto District School Board,45 LYNMONT RD,English Public,10133520,45,Lynmont Rd,45 Lynmont Rd,M9V 3W9,Etobicoke,Toronto,Albion Heights Public School,102001,30065224,45,None,,None,2033,"{'type': 'Point', 'coordinates': (-1395486.115523147, 5065004.312602506)}"
32,32,982437,ALBION LINC,None,EP,Toronto District School Board,1530 ALBION RD,English Public,982437,1530,Albion Rd,1530 Albion Rd,M9V 1B4,Etobicoke,Toronto,None,107004,906946,1530,None,,None,1012,"{'type': 'Point', 'coordinates': (-1394395.6237875286, 5065948.913266105)}"
33,33,11125044,ALBORZ EDUCATION CENTRE SECONDARY SCHOOL,None,PR,None,20 TANGREEN CRT,Private,11125044,20,Tangreen Crt,20 Tangreen Crt,M2M 3Y9,North York,Toronto,None,115001,11125045,20,None,,None,6855,"{'type': 'Point', 'coordinates': (-1380048.5799885835, 5068532.410736212)}"
34,34,10527839,ALEXANDER MUIR GLADSTONE AVENUE JUNIOR & SENIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,108 GLADSTONE AVE,English Public,10527839,108,Gladstone Ave,108 Gladstone Ave,M6J 3L2,former Toronto,Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,102001,10527836,108,None,,None,3506,"{'type': 'Point', 'coordinates': (-1384656.4026837288, 5051969.476658194)}"
35,35,333733,ALEXANDER STIRLING PUBLIC SCHOOL,None,EP,Toronto District School Board,70 FAWCETT TRL,English Public,333733,70,Fawcett Trl,70 Fawcett Trl,M1B 3A9,Scarborough,Toronto,Alexander Stirling Public School,102001,103838,70,None,,None,7886,"{'type': 'Point', 'coordinates': (-1361979.277872807, 5065696.5656121)}"
36,36,300827,ALEXMUIR JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,95 ALEXMUIR BLVD,English Public,300827,95,Alexmuir Blvd,95 Alexmuir Blvd,M1V 1H6,Scarborough,Toronto,Alexmuir Public School,102001,104290,95,None,,None,7182,"{'type': 'Point', 'coordinates': (-1368332.4743264504, 5067060.455147333)}"
37,37,9779413,ALIF CANADA ELEMENTARY SCHOOL,None,PR,None,505 ELLESMERE RD,Private,9779413,505,Ellesmere Rd,505 Ellesmere Rd,M1R 4E5,Scarborough,Toronto,Vineyard Christian Fellowship-Sc,109001,30101335,505,None,,None,7835,"{'type': 'Point', 'coordinates': (-1370453.747965596, 5062037.617215603)}"
