_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,geometry
699,699,845013,NORTHERN SECONDARY SCHOOL,None,EP,Toronto District School Board,851 MOUNT PLEASANT RD,English Public,845013,851,Mount Pleasant Rd,851 Mount Pleasant Rd,M4P 2L5,former Toronto,Toronto,Northern Secondary School,102002,1138214,851,None,,None,4022,"{""coordinates"": [[313651.59740972065, 4841181.057682625]], ""type"": ""MultiPoint""}"
700,700,33244,NORTHLEA ELEMENTARY & MIDDLE SCHOOL,None,EP,Toronto District School Board,305 RUMSEY RD,English Public,33244,305,Rumsey Rd,305 Rumsey Rd,M4G 1R4,East York,Toronto,Northlea Public School,102001,222,305,None,,None,318,"{""coordinates"": [[315303.06312623655, 4841617.452567319]], ""type"": ""MultiPoint""}"
701,701,11541973,NORTHMOUNT SCHOOL,None,PR,None,26 MALLARD RD,Private,11541973,26,Mallard Rd,26 Mallard Rd,M3B 1S3,North York,Toronto,None,115001,11541970,26,None,,None,6135,"{""coordinates"": [[316886.3029294383, 4845317.262871905]], ""type"": ""MultiPoint""}"
702,702,30030280,NORTHVIEW HEIGHTS SECONDARY SCHOOL  ,None,EP,Toronto District School Board,550 FINCH AVE W,English Public,30030280,550,Finch Ave W,550 Finch Ave W,M2R 1N6,North York,Toronto,Northview Heights Secondary School,102002,20092034,550,None,,None,1610,"{""coordinates"": [[309137.9023697948, 4848214.062532009]], ""type"": ""MultiPoint""}"
703,703,14198771,NORWAY JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,390 KINGSTON RD,English Public,14198771,390,Kingston Rd,390 Kingston Rd,M4L 1T9,former Toronto,Toronto,Norway Public School,102002,1140851,390,None,,None,3786,"{""coordinates"": [[320389.1321254644, 4837387.455205779]], ""type"": ""MultiPoint""}"
704,704,6294727,NOTRE DAME CATHOLIC HIGH SCHOOL,None,ES,Toronto Catholic District School Board,12 MALVERN AVE,English Separate,6294727,12,Malvern Ave,12 Malvern Ave,M4E 3E1,former Toronto,Toronto,Notre Dame High School,102004,1140104,12,None,,None,3904,"{""coordinates"": [[321479.465942819, 4837879.65309288]], ""type"": ""MultiPoint""}"
705,705,993855,NOTRE DAME DE GRACE CATHOLIC ELEMENTARY SCHOOL,None,FS,Conseil scolaire de district catholique Centre-Sud,59 CLEMENT RD,French Separate,993855,59,Clement Rd,59 Clement Rd,M9R 1Y5,Etobicoke,Toronto,Notre Dame De Grace Catholic Elementary School,102003,909476,59,None,,None,1358,"{""coordinates"": [[299977.9147614213, 4837702.625608493]], ""type"": ""MultiPoint""}"
706,706,7955771,OAK LEARNERS,None,PR,None,394 ROYAL YORK RD,Private,7955771,394,Royal York Rd,394 Royal York Rd,M8Y 2R3,Etobicoke,Toronto,None,115001,7955692,394,None,,None,2413,"{""coordinates"": [[304811.1847537474, 4831008.376696439]], ""type"": ""MultiPoint""}"
707,707,523032,OAKDALE PARK MIDDLE SCHOOL,None,EP,Toronto District School Board,315 GRANDRAVINE DR,English Public,523032,315,Grandravine Dr,315 Grandravine Dr,M3N 1J5,North York,Toronto,Oakdale Park Middle School,102001,30100304,315,None,,None,5733,"{""coordinates"": [[303834.45324457093, 4845277.809173411]], ""type"": ""MultiPoint""}"
708,708,315052,OAKRIDGE JUNIOR PUBLIC SCHOOL,None,EP,Toronto District School Board,110 BYNG AVE,English Public,315052,110,Byng Ave,110 Byng Ave,M1L 3P1,Scarborough,Toronto,Oakridge Junior Public School,102001,112907,110,None,,None,9832,"{""coordinates"": [[322405.7898159235, 4839524.225778058]], ""type"": ""MultiPoint""}"
