_id,LOCATIONID,ASSET_ID,ASSET_NAME,TYPE,AMENITIES,ADDRESS,PHONE,URL,geometry
956,2399,498,HOLLIS KALMAR PARK,Park,None,146 KALMAR AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2399/index.html,"{""coordinates"": [[323209.35966927273, 4839360.70678871]], ""type"": ""MultiPoint""}"
957,2406,1174,AVRO PARK,Park,None,55 KESWICK RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2406/index.html,"{""coordinates"": [[307858.75150342373, 4844065.8142992295]], ""type"": ""MultiPoint""}"
958,1481,1555,UPPER JUNCTION PARK,Park,Playground,85 BIRDSTONE CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1481/index.html,"{""coordinates"": [[307296.26844920457, 4837184.537538452]], ""type"": ""MultiPoint""}"
959,1043,86,BENNER PARK,Park,Playground,25 BENNER AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1043/index.html,"{""coordinates"": [[309620.18711609923, 4840746.927851045]], ""type"": ""MultiPoint""}"
960,316,1154,YONGE BOULEVARD PARKETTE,Park,None,3444 YONGE ST,None,https://www.toronto.ca/data/parks/prd/facilities/complex/316/index.html,"{""coordinates"": [[312465.64167958795, 4843796.095243442]], ""type"": ""MultiPoint""}"
961,2434,1240,DON MILLS TRAIL,Park,None,813 LAWRENCE AVE E,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2434/index.html,"{""coordinates"": [[316755.9489233347, 4844036.738103007]], ""type"": ""MultiPoint""}"
962,2253,1487,ROUGE NEIGHBOURHOOD PARK,Park,None,196 DEAN PARK RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2253/index.html,"{""coordinates"": [[330595.36863837554, 4851414.911468434]], ""type"": ""MultiPoint""}"
963,3772,71262,60 BROADWAY AVE PARK,Park,None,60 BROADWAY AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/3772/index.html,"{""coordinates"": [[313199.9054895929, 4841164.660695783]], ""type"": ""MultiPoint""}"
964,2755,69,BAYVIEW ARENA PARK,Park,Dog Off-Leash Area,3240 BAYVIEW AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2755/index.html,"{""coordinates"": [[313340.1846602828, 4849783.283157711]], ""type"": ""MultiPoint""}"
965,1465,436,GRAND AVENUE PARK,Park,"Dog Off-Leash Area, Sports Field",1 GRAND AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1465/index.html,"{""coordinates"": [[305553.3316304622, 4831406.355608866]], ""type"": ""MultiPoint""}"
966,237,881,ROBERT BATEMAN PARKETTE,Park,None,281 CHAPLIN CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/237/index.html,"{""coordinates"": [[311670.2087388718, 4840169.421907824]], ""type"": ""MultiPoint""}"
967,1425,41,DE HAVILLAND 'MOSSIE' PARK,Park,"Outdoor Fitness Equipment, Playground, Sports Field",111 A ANTHONY RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/1425/index.html,"{""coordinates"": [[307405.5185597598, 4842991.059500842]], ""type"": ""MultiPoint""}"
968,2579,913,SADDLETREE PARK,Park,"Basketball Court, Playground",50 SADDLETREE DR,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2579/index.html,"{""coordinates"": [[314661.596468952, 4851665.950792764]], ""type"": ""MultiPoint""}"
969,2785,43202,MABERLEY PARKETTE,Park,Playground,76 MABERLEY CRES,None,https://www.toronto.ca/data/parks/prd/facilities/complex/2785/index.html,"{""coordinates"": [[334654.4708728656, 4849492.970714866]], ""type"": ""MultiPoint""}"
970,770,1070,VAN HORNE PARK,Park,"Basketball Court, Outdoor Fitness Equipment, Playground, Sports Field",561 VAN HORNE AVE,None,https://www.toronto.ca/data/parks/prd/facilities/complex/770/index.html,"{""coordinates"": [[317886.3968516226, 4849668.511074332]], ""type"": ""MultiPoint""}"
971,79,490,HILLCREST PARK,Park,"Basketball Court, Dog Off-Leash Area, Outdoor Ping Pong/Table Tennis, Picnic Site, Playground, Tennis Court, Washroom",950 DAVENPORT RD,None,https://www.toronto.ca/data/parks/prd/facilities/complex/79/index.html,"{""coordinates"": [[310885.9878144576, 4837339.3044303125]], ""type"": ""MultiPoint""}"
